count,accuracy,kappa,memory
1000,0.789,-0.016813877755554853,400
2000,0.7860000000000001,0.031908191345894746,400
3000,0.7849999999999999,0.0,400
4000,0.805,0.0,400
5000,0.788,0.004867417108483252,400
6000,0.807,0.008479343700257824,400
7000,0.6220000000000001,0.18353126839132067,880
8000,0.876,0.5876749953738019,1352
9000,0.9349999999999999,0.8743792504454333,1608
10000,0.9470000000000001,0.8572065923728521,2528
11000,0.952,0.8973361521854424,2688
12000,0.9369999999999999,0.8615916906632167,2752
13000,0.632,0.13620239241463977,4808
14000,0.8270000000000002,0.635851971934455,4968
15000,0.849,0.6508152767703634,5288
16000,0.7739999999999999,0.2614673384774308,5736
17000,0.9479999999999998,0.8789820523761799,9600
18000,0.9490000000000001,0.8605873184620074,9792
19000,0.952,0.8823255681730264,10016
20000,0.945,0.891220918459737,10080
21000,0.942,0.8751800168218475,10080
22000,0.533,0.003402895843463383,10560
23000,0.663,0.32991209587227877,10592
24000,0.7270000000000001,0.4138649834797336,10752
25000,0.757,0.3564156785269327,11136
26000,0.8109999999999999,0.4229189623697459,11456
27000,0.865,0.57021145520228,11616
28000,0.7979999999999998,0.398818725662501,12128
29000,0.9339999999999998,0.8683141046887546,19016
30000,0.9490000000000002,0.8673497022419634,19048
31000,0.757,0.3200688015032342,19432
32000,0.8560000000000001,0.46483153560750523,19496
33000,0.8620000000000001,0.5403710980145788,19496
34000,0.763,0.3306390519129418,20008
35000,0.9430000000000002,0.8857130864688718,20040
36000,0.9389999999999998,0.8401957470946956,20040
37000,0.7649999999999999,0.2889139596943299,20392
38000,0.882,0.5096731394121621,20424
39000,0.8859999999999999,0.5581492389873903,20424
40000,0.596,0.09660300847323601,21000
41000,0.7559999999999999,0.4686062243301052,21192
42000,0.852,0.6411262951253273,21320
43000,0.7569999999999999,0.27634460765788504,21768
44000,0.873,0.5993863357824237,22152
45000,0.891,0.6772684023599875,22344
46000,0.8140000000000001,0.4191384421139591,22888
47000,0.952,0.884132624171224,22984
48000,0.944,0.8538599472667849,23048
49000,0.783,0.37714689298250975,23496
50000,0.9070000000000003,0.700397083596316,23560
51000,0.8940000000000001,0.6630430616685967,23592
52000,0.771,0.3709640024925957,24200
53000,0.9410000000000001,0.8704470401713087,24392
54000,0.9390000000000001,0.8309455763942083,37760
55000,0.643,0.1808610790845158,38112
56000,0.7570000000000001,0.45212811531711583,38304
57000,0.821,0.6087233300929983,38432
58000,0.7839999999999999,0.2972210779647408,38880
59000,0.897,0.576094849120066,39168
60000,0.901,0.6577345826691587,39200
61000,0.6390000000000002,0.221708304665348,39712
62000,0.788,0.5439907626977654,39808
63000,0.865,0.6987841507669189,39936
64000,0.7790000000000001,0.36717686787796994,40480
65000,0.9460000000000001,0.8589627380576159,40736
66000,0.9559999999999998,0.8926506287538505,40928
67000,0.819,0.4165300193269223,41312
68000,0.914,0.7164954936087,41408
69000,0.9199999999999999,0.718770817048582,41440
70000,0.7360000000000001,0.26260378555194386,41984
71000,0.8790000000000001,0.7694698978000498,42048
72000,0.8950000000000001,0.7857799326861776,42080
73000,0.764,0.2696439538730224,42464
74000,0.933,0.833209546243884,42528
75000,0.959,0.9154076952541598,42688
76000,0.7849999999999999,0.38594183517082026,43136
77000,0.893,0.7868034530903627,43168
78000,0.9139999999999999,0.8218157583233262,43264
79000,0.915,0.8292644910108089,43264
80000,0.914,0.8393588692987629,43392
81000,0.908,0.8244588001317871,43392
82000,0.9349999999999999,0.8584044478132438,43488
83000,0.9040000000000001,0.8064763644456983,43616
84000,0.921,0.8538812796144409,43744
85000,0.751,0.21321489092319101,44288
86000,0.9269999999999999,0.7303875534300419,44352
87000,0.9280000000000002,0.7390750559392638,44416
88000,0.8230000000000001,0.43180925447018714,44928
89000,0.9460000000000001,0.9062078849117056,45024
90000,0.9559999999999998,0.8818591407146819,45056
91000,0.9579999999999999,0.919482255332726,45152
92000,0.9540000000000001,0.8862652573606923,45152
93000,0.945,0.8697999908654968,45184
94000,0.7759999999999998,0.3297758188438918,45536
95000,0.9189999999999999,0.828816459997267,45568
96000,0.9,0.8057590744063639,45632
97000,0.7929999999999999,0.3112454361682285,46208
98000,0.917,0.7567748424832849,46528
99000,0.9119999999999999,0.6798716685617083,46528
100000,0.7809999999999999,0.3182657164261342,47040
101000,0.943,0.8889999689848466,47136
102000,0.9269999999999999,0.8632551035581576,47168
103000,0.8140000000000001,0.3773395445744785,47616
104000,0.95,0.8923852677467545,47712
105000,0.9469999999999998,0.8672395975919146,47744
106000,0.9470000000000001,0.8947140241288454,47776
107000,0.9480000000000001,0.8788621157809489,47872
108000,0.962,0.9288455756377638,47904
109000,0.799,0.3817067132838522,48288
110000,0.8940000000000001,0.5717851419627514,48288
111000,0.901,0.5997158089630307,48320
112000,0.5690000000000001,0.1487757475941737,48608
113000,0.6539999999999999,0.2742125723645172,75336
114000,0.725,0.45252274114759566,75432
115000,0.805,0.5237792773246169,75848
116000,0.9019999999999999,0.799024521839496,76168
117000,0.924,0.850518921075335,76360
118000,0.9289999999999999,0.8699977117149345,76552
119000,0.9219999999999999,0.828810433827272,76776
120000,0.9179999999999999,0.8525446324123791,76872
121000,0.756,0.257977157239786,77416
122000,0.9259999999999999,0.7263067455410993,77416
123000,0.9100000000000001,0.6752628318345882,77480
