count,accuracy,kappa,memory
1000,0.789,0.06511791721079739,400
2000,0.72,0.0,400
3000,0.6849999999999999,0.0,400
4000,0.622,0.0,1352
5000,0.5740000000000001,0.02351012085639027,1352
6000,0.6059999999999999,0.15673246627982299,1352
7000,0.5849999999999999,0.11682315155230683,1352
8000,0.607,0.16650827362442203,1352
9000,0.614,0.2025351142095429,1352
10000,0.6160000000000001,0.2421965080852965,1352
11000,0.6200000000000001,0.25278176771486477,1352
12000,0.62,0.25462255647505094,1352
13000,0.629,0.2103530490182623,1352
14000,0.6299999999999999,0.27747281688576436,1352
15000,0.6250000000000001,0.2095778179342313,1352
16000,0.637,0.2368286374555777,1352
17000,0.6639999999999999,0.3424179645952109,1352
18000,0.656,0.06970517920711392,1448
19000,0.8360000000000001,-0.003811519075136638,2752
20000,0.7950000000000002,0.0,2848
21000,0.757,0.0,2848
22000,0.719,0.0,2880
23000,0.712,-0.0009563255487668564,4776
24000,0.6929999999999998,0.0062789772404580725,5000
25000,0.7099999999999997,0.04329322586464942,5000
26000,0.678,0.10274355138389657,5192
27000,0.7009999999999998,0.16592026262220322,5192
28000,0.6930000000000001,0.28623091739320655,5256
29000,0.686,0.22980956468651187,5320
30000,0.696,0.20289104186917575,5320
31000,0.673,0.286429222992117,5384
32000,0.6679999999999999,0.207145206682856,5448
33000,0.692,0.28452130010681864,5480
34000,0.6869999999999999,0.21786023396979076,5480
35000,0.698,0.2575794445276673,5512
36000,0.769,0.07111648528987838,5544
37000,0.842,0.007736901249204719,5960
38000,0.8240000000000001,0.0,9824
39000,0.781,0.0,9888
40000,0.78,0.0,9888
41000,0.727,0.0,9920
42000,0.727,0.0,9984
43000,0.699,0.0023425188712345225,10080
44000,0.688,0.015768694222496115,10368
45000,0.717,0.2045736216356734,10688
46000,0.709,0.2572032844823389,10816
47000,0.7059999999999998,0.27285293452367865,10944
48000,0.6969999999999998,0.2948381733232989,10944
49000,0.7089999999999999,0.2847249262609491,10944
50000,0.689,0.25398502385543276,10976
51000,0.701,0.3052968565023736,10976
52000,0.7,0.2785394721683515,11008
53000,0.708,0.30957715954991005,11040
54000,0.767,0.24677598742617315,11040
55000,0.812,0.0,11552
56000,0.8030000000000002,0.0,11936
57000,0.76,0.0,12032
58000,0.708,0.0,12096
59000,0.691,0.0,19048
60000,0.6689999999999999,0.0,19336
61000,0.639,0.02617631531483734,19400
62000,0.647,0.09424501139478474,19464
63000,0.647,0.20546169627175606,19528
64000,0.683,0.250284876093129,19528
65000,0.6779999999999999,0.23833305201870975,19528
66000,0.657,0.2531099288441011,19592
67000,0.648,0.16282536965435496,19624
68000,0.701,0.1965890766944189,19624
69000,0.845,0.0,20104
70000,0.8309999999999998,0.0,20168
71000,0.784,0.0,20168
72000,0.765,0.0,20168
73000,0.702,0.0,20552
74000,0.6639999999999999,0.0,20712
75000,0.627,0.005560734647325571,20776
76000,0.592,-0.004143573053742333,20776
77000,0.589,0.04862399982728236,20776
78000,0.6030000000000001,0.14110817740105994,21064
79000,0.615,0.12497905739846775,21064
80000,0.608,0.12501269527962716,21256
81000,0.6180000000000001,0.26085792833997906,21416
82000,0.6,0.1477364764383751,21480
83000,0.623,0.25719027411072226,21512
84000,0.6169999999999999,0.18963184042163436,21512
85000,0.5920000000000002,0.16951262322899735,21512
86000,0.775,0.0,21768
87000,0.7659999999999999,0.0,22056
88000,0.6789999999999999,0.0,22280
89000,0.6589999999999999,0.004042467136244865,22408
90000,0.6070000000000001,0.021106602471773716,22664
91000,0.6250000000000001,0.15179779938082366,22856
92000,0.647,0.24414791251282258,22888
93000,0.659,0.2311700745365628,22920
94000,0.6599999999999999,0.2064858826974379,22952
95000,0.6540000000000001,0.24168118912994876,22952
96000,0.6420000000000001,0.2137066455963909,22952
97000,0.63,0.21452444721485248,22952
98000,0.624,0.22197063788136379,22952
99000,0.5929999999999999,0.17007145168568333,22952
100000,0.6249999999999999,0.21240154567396363,22984
101000,0.6099999999999999,0.1523473284071463,23080
102000,0.605,0.15288353141671046,23080
103000,0.6439999999999999,0.19607443201373814,23080
104000,0.8560000000000001,0.0,23464
105000,0.833,0.0,23656
106000,0.804,0.0,23656
107000,0.768,0.0,23656
108000,0.752,0.0,23720
109000,0.7430000000000001,0.0,23976
110000,0.7419999999999998,0.0,24008
111000,0.7299999999999999,0.03385552281242059,24136
