learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.038060379,2.3749148407950997E-10,1000.0,78.60000000000001,3.4296028880866656,33.54037267080746,-2.3923444976076578,1000.0,24120.0
2000.0,0.086693004,7.926788640208542E-10,2000.0,71.8,-0.39874679578468025,27.69230769230769,-0.7142857142857149,2000.0,44128.0
3000.0,0.098871138,3.0595208500511947E-9,3000.0,68.5,0.0,27.752293577981675,0.0,3000.0,719520.0
4000.0,0.161836047,3.709910716786981E-9,4000.0,62.3,0.0,18.398268398268392,0.0,4000.0,39928.0
5000.0,0.170399263,3.798363618594078E-9,5000.0,56.2,6.49776491232566,3.9473684210526354,4.157549234135671,5000.0,39928.0
6000.0,0.181013225,3.908746368914016E-9,6000.0,59.0,17.28534538411878,9.090909090909076,13.865546218487385,6000.0,40200.0
7000.0,0.194641572,4.064044777825476E-9,7000.0,56.99999999999999,13.586598286201184,7.725321888412001,9.282700421940913,7000.0,44048.0
8000.0,0.209032257,5.76986862352118E-9,8000.0,51.9,0.9888761722834559,-6.651884700665195,1.8367346938775526,8000.0,458200.0
9000.0,0.243286397,6.3162376152289424E-9,9000.0,57.99999999999999,16.07284876727001,6.249999999999981,16.50099403578528,9000.0,61656.0
10000.0,0.259497267,6.571721697551096E-9,10000.0,58.099999999999994,16.797064266821288,2.1028037383177587,14.139344262295072,10000.0,60920.0
11000.0,0.283246439,6.946009777976822E-9,11000.0,60.699999999999996,21.67445271767725,12.472160356347427,21.4,11000.0,60920.0
12000.0,0.303900208,7.312635002347331E-9,12000.0,60.8,21.736491558721585,4.854368932038839,17.124735729386884,12000.0,68616.0
13000.0,0.318757668,7.576369897710781E-9,13000.0,61.0,23.38639971083277,2.7431421446384063,17.197452229299355,13000.0,68616.0
14000.0,0.336192221,7.920562302149419E-9,14000.0,62.3,25.91049516158193,13.729977116704816,19.27194860813704,14000.0,76312.0
15000.0,0.346913579,8.142895920402888E-9,15000.0,60.0,21.813917122752137,6.10328638497653,11.111111111111098,15000.0,80160.0
16000.0,0.355982511,8.339990381832339E-9,16000.0,62.7,25.37014805922369,18.558951965065496,23.408624229979463,16000.0,84008.0
17000.0,0.365184725,8.549142074827106E-9,17000.0,61.8,23.702543781158123,13.963963963963952,20.910973084886127,17000.0,87856.0
18000.0,0.372578417,8.717188938253871E-9,18000.0,66.0,11.712160870829681,13.486005089058537,6.593406593406599,18000.0,87856.0
19000.0,0.381134945,8.912267308825008E-9,19000.0,82.6,-2.2855530474040644,34.58646616541352,-7.407407407407413,19000.0,88128.0
20000.0,0.38840961,9.078120771193257E-9,20000.0,79.3,-0.19943075106011926,36.50306748466258,-0.48543689320388406,20000.0,88128.0
21000.0,0.39691386,9.27200726731991E-9,21000.0,75.5,0.022851919561265994,31.944444444444443,-0.8230452674897127,21000.0,88128.0
22000.0,0.405743699,9.473316794329635E-9,22000.0,72.0,1.1264522052332446,27.83505154639175,0.35587188612099674,22000.0,88128.0
23000.0,0.414212222,9.666388758563749E-9,23000.0,71.39999999999999,1.0825580188842654,21.85792349726775,0.34843205574912917,23000.0,88128.0
24000.0,0.42183122,9.840092592084162E-9,24000.0,69.3,0.9421786267423957,23.631840796019894,0.3246753246753249,24000.0,88128.0
25000.0,0.428889413,1.0001010757678502E-8,25000.0,70.6,3.909007713426582,20.32520325203251,2.6490066225165583,25000.0,88128.0
26000.0,0.438210204,1.0206858214649064E-8,26000.0,66.60000000000001,2.3071883189816886,17.530864197530878,1.183431952662723,26000.0,85368.0
27000.0,0.448088419,1.0443988289897228E-8,27000.0,69.8,6.745798929120609,27.7511961722488,3.5143769968050798,27000.0,92792.0
28000.0,0.456406602,1.064425456263539E-8,28000.0,67.30000000000001,9.589586489864093,21.77033492822968,6.303724928366767,28000.0,93064.0
29000.0,0.464330979,1.083559728248459E-8,29000.0,66.2,9.4566865433349,18.944844124700253,5.322128851540621,29000.0,93336.0
30000.0,0.472940338,1.1052050087048365E-8,30000.0,69.6,24.32841468028756,23.6180904522613,15.083798882681549,30000.0,97184.0
31000.0,0.479377104,1.1213880491962452E-8,31000.0,66.5,23.409664557193555,20.616113744075847,15.404040404040417,31000.0,97184.0
32000.0,0.487765637,1.1433132003905875E-8,32000.0,66.2,21.143374410325084,20.470588235294134,9.3833780160858,32000.0,101032.0
33000.0,0.495487876,1.1635511943480624E-8,33000.0,67.60000000000001,25.425351697724096,18.59296482412062,12.903225806451623,33000.0,101304.0
34000.0,0.503958536,1.1858102115978387E-8,34000.0,68.60000000000001,26.356425519140313,22.66009852216751,14.905149051490529,34000.0,101576.0
35000.0,0.51372229,1.213411118363548E-8,35000.0,69.39999999999999,25.515186625837927,22.92191435768261,8.108108108108082,35000.0,109272.0
36000.0,0.524122386,1.2457704475739353E-8,36000.0,76.0,3.2140984796548095,26.605504587155952,-4.803493449781664,36000.0,120272.0
37000.0,0.533138039,1.2738221581998388E-8,37000.0,78.7,19.74015403861519,16.14173228346458,-34.810126582278436,37000.0,120272.0
38000.0,0.544126841,1.3081678628075044E-8,38000.0,80.60000000000001,-1.2779819579017155,34.89932885906043,-10.227272727272672,38000.0,120816.0
39000.0,0.554717715,1.3413443604391072E-8,39000.0,78.0,0.3108488984348643,36.781609195402304,-0.4566210045662105,39000.0,121088.0
40000.0,0.564783639,1.3729472536873076E-8,40000.0,78.0,0.0,29.260450160771722,0.0,40000.0,121360.0
41000.0,0.573777712,1.4011849722400726E-8,41000.0,72.6,-0.19966795146530505,21.937321937321926,-0.3663003663003666,41000.0,121360.0
