count,accuracy,kappa,memory
1000,0.6100000000000001,0.21802558679650463,464
2000,0.6849999999999999,0.40504236928281,784
3000,0.7479999999999999,0.7097979596658242,1544
4000,0.8290000000000001,0.6953918645370297,2848
5000,0.736,0.5469835529951537,4776
6000,0.663,0.5203050764026539,5128
7000,0.6759999999999999,0.6475060164438443,5672
8000,0.682,0.5533839969286958,9600
9000,0.623,0.4211045952377045,9984
10000,0.7530000000000001,0.5718028660314785,10464
11000,0.728,0.6559351669749415,11040
12000,0.6900000000000002,0.649811862342137,11584
13000,0.712,0.62969823250693,12096
14000,0.638,0.5321029296297323,19176
15000,0.711,0.6001081835533293,19592
16000,0.8550000000000001,0.6458695551264098,20392
17000,0.794,0.10142120729452789,20584
18000,0.866,0.3491534058652001,20872
19000,0.8880000000000001,0.6082840020556309,21256
20000,0.8959999999999999,0.5618806546168426,21512
21000,0.914,0.65371969766441,21672
22000,0.9650000000000002,0.8762056076144271,22184
23000,0.952,nan,22312
24000,0.8629999999999999,0.4780621064321918,22696
25000,0.9280000000000002,0.7161615479770356,23080
26000,0.933,0.7405469661461761,23464
27000,0.9610000000000001,nan,23752
28000,0.885,0.5874473232344612,23976
29000,0.899,nan,24232
30000,0.9269999999999999,0.6482537989144965,37760
31000,0.8859999999999999,0.5144169430058435,37856
32000,0.901,nan,37920
33000,0.8760000000000001,0.5943294667702556,38016
34000,0.8719999999999999,0.6405403131181819,38208
35000,0.907,0.53782985618577,38528
36000,0.906,0.7507342526442757,38752
37000,0.9460000000000001,nan,38880
38000,0.952,0.8081656691721826,39168
39000,0.976,nan,39424
40000,0.992,nan,39872
41000,0.986,0.9705212887861018,40128
42000,0.9620000000000001,0.7286630616072445,40352
43000,0.9530000000000001,0.9018167521941285,40544
44000,0.9560000000000001,nan,40960
45000,0.9339999999999998,0.8128451307352421,41248
46000,0.9660000000000002,0.9285717956598376,41536
47000,0.983,0.7627632923952774,41728
48000,0.99,0.9824877006833184,42016
49000,0.9900000000000002,nan,42336
50000,0.991,0.9797057504713124,42560
51000,0.984,0.8479153683765415,42656
52000,0.9799999999999999,0.8348593511942664,42848
53000,0.9709999999999999,0.7245334577378804,42944
54000,0.9600000000000002,0.6914202862065209,43104
55000,0.9390000000000001,0.6574391596751905,43328
56000,0.9279999999999999,0.667749897634587,43616
57000,0.8959999999999999,0.6696796438037632,43840
58000,0.899,0.7165379702880755,44160
59000,0.885,0.752932598955536,44384
60000,0.8900000000000002,0.771956485523456,44448
61000,0.9,0.7068928339955253,44480
62000,0.874,0.7665244740406136,44544
63000,0.8330000000000002,0.5551768470963105,44832
64000,0.8579999999999999,0.6646851210150808,45280
65000,0.8949999999999999,0.7978414799113963,45504
66000,0.891,0.5891944001469652,45824
67000,0.954,0.8819768358532476,46080
68000,0.968,0.8937651905954098,46400
69000,0.961,0.8563466941894097,46688
70000,0.99,0.9520870390120963,46976
71000,0.937,0.9056205383982932,47168
72000,0.9000000000000001,0.7447989018570375,47904
73000,0.898,0.6867859993809036,48608
74000,0.8719999999999999,0.6958078553042315,75848
75000,0.901,0.7768282679043768,76424
76000,0.908,0.6287351706251757,76872
77000,0.875,0.4812937110761533,77256
78000,0.8860000000000001,nan,77832
79000,0.9059999999999999,0.7024804474764308,78376
80000,0.913,nan,78984
81000,0.9099999999999999,0.5464281204715145,79272
82000,0.952,0.8220336461982811,79560
83000,0.953,0.8593160751836855,79816
84000,0.9460000000000001,nan,80104
85000,0.8949999999999999,0.6614990699802857,80456
86000,0.865,0.6039114683469299,80712
87000,0.891,nan,81096
88000,0.859,0.5768573837177848,81448
89000,0.9030000000000001,nan,81768
90000,0.9299999999999999,nan,81992
91000,0.8850000000000001,0.5912432444716648,82248
92000,0.9250000000000002,0.2971337735377618,82376
93000,0.951,0.5288382196630483,82408
94000,0.9649999999999999,0.722776270616605,82504
95000,0.968,0.7204584068004845,82664
96000,0.925,0.4820301336364551,82760
97000,0.9,0.4510017537224925,82856
98000,0.9040000000000001,0.505150774205387,83144
99000,0.8969999999999999,0.5948213783321336,83528
100000,0.913,0.562559032196801,83848
101000,0.9180000000000001,0.704881094480186,84232
102000,0.959,nan,84488
103000,0.943,0.8463994198155131,84776
104000,0.9399999999999998,nan,84968
105000,0.942,0.8761318977983615,85128
106000,0.9540000000000001,nan,85320
107000,0.944,0.642699086722109,85512
108000,0.9089999999999998,0.6292958198419624,85800
109000,0.9390000000000001,0.6065539157189755,85928
110000,0.9479999999999998,0.6143273897529485,86056
111000,0.968,0.6643453648735701,86216
112000,0.9410000000000001,0.4898759852755251,86344
113000,0.943,0.7640158607042016,86408
114000,0.9410000000000001,0.7263966226997912,86536
115000,0.9359999999999999,0.6898232725093569,86600
116000,0.937,0.6809193881358537,86760
117000,0.8770000000000001,0.5874974689631236,87048
118000,0.86,0.17762005499035446,87528
119000,0.861,0.16024824094048146,87720
120000,0.807,0.27571957740853914,87944
121000,0.827,0.4358404480403501,88040
122000,0.808,0.4218964872352179,88456
123000,0.835,0.5205303537534247,88648
124000,0.8539999999999999,0.5928017959675109,88680
125000,0.869,0.520909193441996,88808
126000,0.8399999999999999,0.41015130070154776,88936
127000,0.8309999999999998,0.3518527528543697,89000
128000,0.842,0.5888490833573259,89032
129000,0.861,0.4678535708028006,89096
130000,0.8859999999999999,0.42377735208996886,89224
131000,0.945,0.6311270802070295,89384
132000,0.943,0.8341304271493073,89768
133000,0.8949999999999999,0.4887706662707333,89960
134000,0.913,0.4845029909264261,90024
135000,0.9349999999999999,0.6299990971865332,90024
136000,0.921,0.7408437012517523,90056
137000,0.9019999999999999,0.7204197012962348,90056
138000,0.9179999999999999,0.7017413284608669,90056
139000,0.914,0.51802443378491,90088
140000,0.8939999999999999,0.37670270426459573,90120
141000,0.8870000000000001,0.5541580212315257,90184
142000,0.8690000000000001,0.5734023902640296,90280
143000,0.843,0.4814341594910115,90728
144000,0.849,0.45562751603447804,91208
145000,0.8799999999999999,0.6153220347069388,91784
146000,0.8719999999999999,0.5738313969622971,92264
147000,0.883,0.6798822542333037,92712
148000,0.9180000000000001,0.8231734008117844,93448
149000,0.9620000000000001,0.8949319828107004,94216
150000,0.946,0.8229748891948045,94888
151000,0.9640000000000001,0.9017460265742647,95336
152000,0.9120000000000001,0.8315432451323452,95688
153000,0.9610000000000001,0.8804286383987361,95912
154000,0.9639999999999999,0.910413738111985,95944
155000,0.9369999999999999,0.8485493477537798,96104
156000,0.942,0.8408842920364725,96264
157000,0.9389999999999998,0.8660134838816969,96296
158000,0.9640000000000001,0.9096064612236789,96456
159000,0.8950000000000001,0.8227620140838219,96616
160000,0.8830000000000002,0.7313550939537492,96840
161000,0.8619999999999999,0.6974019575504686,97064
162000,0.86,0.6764192099549758,150656
163000,0.827,0.5543664164973984,150880
164000,0.8430000000000002,0.6128691711523638,151008
165000,0.8430000000000002,0.5894784741110699,151200
166000,0.825,0.6421467873707095,151456
167000,0.836,0.6095460164398974,151680
168000,0.883,0.6856846248058649,152000
169000,0.944,0.8838664208277193,152224
170000,0.9189999999999999,0.7384706742330822,152448
171000,0.9109999999999999,0.7913415231470224,152736
172000,0.8910000000000002,0.6205898800458136,153024
173000,0.865,0.6161394961180776,153184
174000,0.8870000000000001,0.7152774796137952,153344
175000,0.89,0.7407001516667597,153376
176000,0.8309999999999998,0.6298154961226825,153440
177000,0.875,0.7953097845487318,153600
178000,0.85,0.7345680103397423,153792
179000,0.8779999999999999,0.7192758704438348,154304
180000,0.8879999999999999,0.7505749236530231,154624
181000,0.9039999999999999,0.7927340662090692,155008
182000,0.917,nan,155264
183000,0.938,0.8235669136040518,155392
184000,0.966,0.9519591532040137,155520
185000,0.9339999999999999,0.8747343271110145,155744
186000,0.8819999999999999,0.7000908766457772,155840
187000,0.893,0.8196279520146088,156064
188000,0.8699999999999999,0.6357261896278954,156320
189000,0.884,0.7307484871412434,156448
190000,0.8789999999999999,0.7834321064565773,156576
191000,0.8939999999999999,0.802745124151083,156608
192000,0.9020000000000001,0.7936787465792012,156768
