count,accuracy,kappa,memory
1000,0.607,0.21714119777016774,0
2000,0.663,0.3739813970243682,0
3000,0.7719999999999999,0.7457556637729367,0
4000,0.8099999999999999,0.6564461730558815,0
5000,0.6980000000000001,0.42014446252744964,0
6000,0.6489999999999999,0.48648065283678266,0
7000,0.6699999999999999,0.6057594383155548,0
8000,0.5979999999999999,0.42998807872390943,0
9000,0.584,0.3613273085200948,0
10000,0.7669999999999998,0.5166657819603673,0
11000,0.6849999999999999,0.5710052847354433,0
12000,0.682,0.6427124469393365,0
13000,0.654,0.5518765657991499,0
14000,0.5619999999999999,0.4381932026214064,0
15000,0.602,0.4322296423568225,0
16000,0.8549999999999999,0.6577299101624975,0
17000,0.795,0.10925963916534927,0
18000,0.829,0.1156063481560787,0
19000,0.89,0.580977454844789,0
20000,0.873,0.5247392789345013,0
21000,0.8959999999999999,0.5221927443122238,0
22000,0.9719999999999999,0.905415740477124,0
23000,0.946,nan,0
24000,0.874,0.4889348187115399,0
25000,0.916,0.6637304131743612,0
26000,0.913,0.6723347096577047,0
27000,0.9339999999999999,nan,0
28000,0.8699999999999999,0.5098684399198146,0
29000,0.8640000000000001,nan,0
30000,0.8870000000000001,0.40094425912936826,0
31000,0.869,0.36347059052027075,0
32000,0.89,nan,0
33000,0.8559999999999999,0.5136437173077392,0
34000,0.867,0.6426429857029442,0
35000,0.908,0.5414758607837278,0
36000,0.909,0.7683139464497393,0
37000,0.942,nan,0
38000,0.9530000000000001,0.804649522150273,0
39000,0.991,nan,0
40000,0.998,nan,0
41000,0.9970000000000001,0.9967012442829948,0
42000,0.96,0.7249659334338816,0
43000,0.9560000000000001,0.9100049297270033,0
44000,0.9560000000000001,nan,0
45000,0.9409999999999998,0.8477517477293223,0
46000,0.9680000000000002,0.9311656622951325,0
47000,0.9810000000000001,0.7492561259052073,0
48000,0.9960000000000001,0.9921102799369761,0
49000,0.9870000000000001,nan,0
50000,0.9889999999999999,0.970259033065188,0
51000,0.984,0.8479153683765415,0
52000,0.9799999999999999,0.8348593511942664,0
53000,0.97,0.7214908293545663,0
54000,0.9600000000000002,0.6914202862065209,0
55000,0.9390000000000001,0.646378043530387,0
56000,0.932,0.6758650556889977,0
57000,0.907,0.6909905168612007,0
58000,0.891,0.6906882444296298,0
59000,0.874,0.7396997498187889,0
60000,0.891,0.7613890212746368,0
61000,0.9040000000000001,0.7211208767891633,0
62000,0.8710000000000001,0.7507663165717048,0
63000,0.8340000000000002,0.5828468174924251,0
64000,0.86,0.6774541502538972,0
65000,0.889,0.7878992190572747,0
66000,0.8909999999999998,0.5774425818013045,0
67000,0.9460000000000001,0.8935171423030728,0
68000,0.9560000000000001,0.8499037398480305,0
69000,0.959,0.8357453952674406,0
70000,0.986,0.9376972555365694,0
71000,0.937,0.8832762178473462,0
72000,0.8909999999999998,0.7281634385425539,0
73000,0.9,0.6952884869881725,0
74000,0.8859999999999999,0.7475443556118339,0
75000,0.866,0.6165039217433022,0
76000,0.8939999999999999,0.5739381547572205,0
77000,0.8399999999999999,0.2693426410415916,0
78000,0.836,nan,0
79000,0.861,0.45813021888018984,0
80000,0.8870000000000001,nan,0
81000,0.866,0.4235597268890384,0
82000,0.925,0.7476302761429829,0
83000,0.9189999999999999,0.7180443579256488,0
84000,0.915,nan,0
85000,0.866,0.48576137846215206,0
86000,0.8380000000000001,0.45030501744794993,0
87000,0.842,nan,0
88000,0.8039999999999999,0.28371399698912797,0
89000,0.891,nan,0
90000,0.925,nan,0
91000,0.8800000000000002,0.5588480277541831,0
92000,0.916,0.12267181968118006,0
93000,0.951,0.43348933094487263,0
94000,0.9639999999999999,0.7262592896388294,0
95000,0.96,0.5927498596774204,0
96000,0.925,0.45946489258420325,0
97000,0.8990000000000002,0.4279995485452959,0
98000,0.916,0.5766450793505028,0
99000,0.9260000000000002,0.7018775917923532,0
100000,0.9179999999999999,0.6214589159971577,0
101000,0.915,0.6761423904232142,0
102000,0.962,nan,0
103000,0.9349999999999999,0.8027091432898456,0
104000,0.95,nan,0
105000,0.9339999999999999,0.8548837184810261,0
106000,0.9470000000000001,nan,0
107000,0.9360000000000002,0.6110748288379425,0
108000,0.9109999999999998,0.6367144074499069,0
109000,0.9390000000000001,0.6060559181013153,0
110000,0.95,0.6084827919025237,0
111000,0.9709999999999999,0.6732705407401169,0
112000,0.9399999999999998,0.485444693014072,0
113000,0.9450000000000001,0.7849142642300388,0
114000,0.9419999999999998,0.7389075998722945,0
115000,0.933,0.6844134171007579,0
116000,0.9289999999999999,0.6458747480162689,0
117000,0.8819999999999999,0.568860757957358,0
118000,0.873,0.25181648791690925,0
119000,0.845,0.07335680346004551,0
120000,0.7950000000000002,0.18486194348178153,0
121000,0.826,0.41301489148237697,0
122000,0.8030000000000002,0.4025695801056554,0
123000,0.857,0.6606783972487175,0
124000,0.845,0.5380090246245705,0
125000,0.858,0.4670927537339306,0
126000,0.8370000000000001,0.38232776036765403,0
127000,0.8390000000000001,0.4262316227794171,0
128000,0.853,0.6189038275392684,0
129000,0.8739999999999999,0.5215928027291354,0
130000,0.891,0.45011344677245013,0
131000,0.9369999999999999,0.6556291977376641,0
132000,0.9400000000000001,0.7800053173296221,0
133000,0.8939999999999999,0.45423648537175343,0
