learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,4.204179892,1.4596693095317293E-5,1000.0,66.2,32.04035757227246,17.961165048543705,17.961165048543705,1000.0,1.3432808E7
2000.0,10.342674819,4.9603877553831224E-5,2000.0,74.5,65.74150826032692,50.86705202312138,65.7718120805369,2000.0,2.2044368E7
3000.0,15.950305195,9.161740273714897E-5,3000.0,81.2,76.19487784680138,51.67095115681235,74.73118279569894,3000.0,2.8960904E7
4000.0,21.051710374,1.3655149710256327E-4,4000.0,86.9,77.35025666827462,53.04659498207885,75.23629489603024,4000.0,3.404776E7
5000.0,26.990255925,1.9785290797132333E-4,5000.0,80.4,67.98839742731244,42.69005847953217,57.75862068965518,5000.0,3.9901824E7
6000.0,36.212974353,2.851782936181203E-4,6000.0,72.7,62.917584671515,40.78091106290672,59.253731343283576,6000.0,3.660024E7
7000.0,45.385045752,4.132344168593056E-4,7000.0,74.9,69.64522402066542,48.45995893223819,66.71087533156499,7000.0,5.3967872E7
8000.0,54.750515015,5.440222636273497E-4,8000.0,79.7,74.62855200271963,55.57986870897156,73.14814814814815,8000.0,5.3980912E7
9000.0,66.264818356,7.200231395049872E-4,9000.0,77.60000000000001,72.27547778387003,56.58914728682171,71.46496815286625,9000.0,5.9085312E7
10000.0,75.307688708,8.742132841663234E-4,10000.0,81.89999999999999,67.86312888838386,55.418719211822655,68.57638888888887,10000.0,6.5910208E7
11000.0,86.335254021,0.0010660170469182345,11000.0,76.5,70.30604985803767,50.10615711252654,67.76406035665296,11000.0,6.7232592E7
12000.0,98.256718092,0.001284283096751652,12000.0,74.9,68.02270769952047,46.93446088794926,70.50528789659224,12000.0,7.0771592E7
13000.0,110.140939925,0.001561683403859614,13000.0,78.10000000000001,69.43334445271032,56.71936758893281,71.25984251968505,13000.0,9.0227424E7
14000.0,123.129836415,0.001739762970900542,14000.0,70.7,65.14925160099342,54.075235109717866,65.32544378698223,14000.0,5.2996136E7
15000.0,132.852765001,0.0018800270494742021,15000.0,70.19999999999999,61.171373660379814,47.71929824561402,58.55354659248956,15000.0,5.576372E7
