learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.340682989,4.0518096432656876E-8,1000.0,66.7,37.61124121779861,19.174757281553415,19.174757281553415,1000.0,469680.0
2000.0,0.723611256,1.0123708337203083E-7,2000.0,69.5,58.92493768037676,41.23314065510596,59.06040268456375,2000.0,612928.0
3000.0,1.003824572,1.5594430206113806E-7,3000.0,73.4,66.83333125522125,31.619537275064264,64.24731182795699,3000.0,754672.0
4000.0,1.328841824,2.2346297773354998E-7,4000.0,73.8,60.237603086290484,6.093189964157711,50.4725897920605,4000.0,803008.0
5000.0,1.575602837,2.787245873844996E-7,5000.0,68.2,53.550807091243456,7.0175438596491295,31.465517241379317,5000.0,865664.0
6000.0,1.844974917,3.502192901629251E-7,6000.0,66.9,55.11109664540208,28.19956616052061,50.59701492537314,6000.0,1025944.0
7000.0,2.111535713,4.1331885892416455E-7,7000.0,63.9,56.38263424724401,25.87268993839836,52.12201591511937,7000.0,915024.0
8000.0,2.383719679,4.91128788439946E-7,8000.0,75.4,70.02788868406591,46.1706783369803,67.46031746031747,8000.0,1105032.0
9000.0,2.647821609,5.735120005464347E-7,9000.0,69.3,62.18806694805969,40.50387596899224,60.89171974522293,9000.0,1205784.0
10000.0,2.937612647,6.679803250484458E-7,10000.0,78.60000000000001,63.144370733185916,47.290640394088676,62.84722222222222,10000.0,1261144.0
11000.0,3.186185902,7.498152120840819E-7,11000.0,70.3,62.2346411337237,36.942675159235655,59.25925925925925,11000.0,1272584.0
12000.0,3.47525197,8.43421432840404E-7,12000.0,70.5,62.23951666581332,37.6321353065539,65.33490011750881,12000.0,1251728.0
13000.0,3.813005022,9.62047184509215E-7,13000.0,69.19999999999999,59.0983578256262,39.13043478260869,59.580052493438316,13000.0,1357632.0
14000.0,4.158631147,1.092820838506996E-6,14000.0,59.5,51.744352301973116,36.520376175548584,52.071005917159766,14000.0,1462568.0
15000.0,4.505933841,1.216165581507302E-6,15000.0,70.7,62.46602086018144,48.596491228070164,59.248956884561885,15000.0,1372824.0
16000.0,4.72384395,1.295162895986473E-6,16000.0,88.1,71.6364121729845,-35.227272727272776,72.76887871853548,16000.0,1401320.0
17000.0,5.046813615,1.3644258993942022E-6,17000.0,82.6,39.3576088774884,-255.1020408163263,15.942028985507209,17000.0,828976.0
18000.0,5.236528915,1.4102213767637955E-6,18000.0,87.6,68.87487700556237,-313.333333333333,42.85714285714285,18000.0,933088.0
19000.0,5.481786168,1.4394187279576084E-6,19000.0,90.3,75.09397530965636,-340.90909090909037,60.88709677419356,19000.0,460176.0
20000.0,5.709017193,1.4634269222677334E-6,20000.0,87.9,61.74747643992298,-476.19047619047564,39.49999999999999,20000.0,408408.0
21000.0,5.906077874,1.4909853457151189E-6,21000.0,88.7,66.18993477350247,-334.6153846153842,41.45077720207253,21000.0,540576.0
22000.0,6.111294684,1.5160097234461043E-6,22000.0,97.1,89.24013060255268,-163.63636363636365,81.4102564102564,22000.0,471360.0
23000.0,6.312336838,1.5408391776279236E-6,23000.0,93.0,74.67731666377266,-337.4999999999993,51.38888888888893,23000.0,477400.0
24000.0,6.524884069,1.5690074675233724E-6,24000.0,88.4,68.9482560162754,-329.6296296296292,49.78354978354979,24000.0,512280.0
25000.0,6.719582986,1.5950049951438296E-6,25000.0,91.2,72.82121921539803,-299.9999999999995,54.40414507772021,25000.0,516144.0
26000.0,6.901466382,1.6193473945843946E-6,26000.0,90.4,69.3261334952232,-231.0344827586203,47.540983606557404,26000.0,517336.0
