count,accuracy,kappa,memory
1000,0.8259999999999998,0.5619527756534085,496
2000,0.9009999999999998,0.5961621774990421,1416
3000,0.8619999999999999,0.6196476152207533,2784
4000,0.906,0.7799724787172243,4776
5000,0.874,0.7354747506829005,5128
6000,0.857,0.6740924157008594,5608
7000,0.875,0.756494327717343,6024
8000,0.8479999999999999,0.6274246236733322,9952
9000,0.907,0.8323942410897331,10080
10000,0.873,0.7039699850109946,10400
11000,0.9030000000000001,0.8218165384403644,10656
12000,0.834,0.6854666381952635,11008
13000,0.8560000000000001,0.7311757206892795,11264
14000,0.9019999999999999,0.8133030951454714,11520
15000,0.841,0.6094270363044973,11648
16000,0.8310000000000001,0.6635941077951809,12064
17000,0.8649999999999999,0.6762373878941188,19240
18000,0.8790000000000001,0.6157031157408486,19528
19000,0.9119999999999999,0.7344545729494891,19784
20000,0.8809999999999999,0.6687275212045715,20136
21000,0.8600000000000001,0.6787582930673166,20616
22000,0.891,0.7312893630052282,21032
23000,0.792,0.5690902240455741,21352
24000,0.805,0.5640374383769571,21896
25000,0.825,0.6525588731098109,22376
26000,0.892,0.7696131653517733,22664
27000,0.9109999999999999,0.8202232031231638,22952
28000,0.8199999999999997,0.6939872232246873,23496
29000,0.8299999999999998,0.6176427600189048,23656
30000,0.877,0.7092475118372292,23784
31000,0.8130000000000001,0.6068247455827349,24072
32000,0.7929999999999999,0.566462522355832,37920
33000,0.868,0.7251361400444675,38400
34000,0.859,0.7574852245091026,38848
35000,0.8320000000000001,0.5831781421048401,39232
36000,0.865,0.729698205330935,39584
37000,0.834,0.6274764547994298,39904
38000,0.841,0.6792276642168231,40192
39000,0.876,0.7308983785157726,40480
40000,0.8729999999999999,0.6383272529060342,40704
41000,0.8959999999999999,0.7412476035230018,41056
42000,0.882,0.7556201097724358,41312
43000,0.873,0.7446119044164392,41632
44000,0.835,0.7009547889071885,41856
45000,0.881,0.7157978328512922,42336
