learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.735819653,1.594173101329586E-6,1000.0,90.5,80.99771972636717,32.62411347517733,80.61224489795919,1000.0,3550040.0
2000.0,2.909581201,2.7799233031877772E-6,2000.0,93.8,85.20992366412213,55.71428571428568,79.1946308724832,2000.0,3904952.0
3000.0,4.025212896,4.311839426765088E-6,3000.0,91.4,82.1453040073412,53.763440860215084,79.07542579075427,3000.0,5307824.0
4000.0,4.940564542,5.489246116356057E-6,4000.0,91.5,82.09440671396553,49.70414201183435,78.2608695652174,4000.0,4972112.0
5000.0,6.067256724,6.6438527968002084E-6,5000.0,88.5,73.73253784798676,28.12500000000002,67.51412429378531,5000.0,3961240.0
6000.0,7.249349013,7.88792916054728E-6,6000.0,90.8,80.91127894431074,39.47368421052634,77.99043062200958,6000.0,4068160.0
7000.0,8.22968279,9.935740914321678E-6,7000.0,85.9,70.43603700317865,26.17801047120416,66.5083135391924,7000.0,8074552.0
8000.0,9.512215953,1.4069959898847078E-5,8000.0,89.0,77.90055248618785,35.67251461988307,79.32330827067669,8000.0,1.2460264E7
9000.0,10.80882288,1.951114429099843E-5,9000.0,92.30000000000001,84.47242544747647,55.232558139534916,83.75527426160339,9000.0,1.6221368E7
10000.0,12.245167373,2.3811763748448304E-5,10000.0,88.9,77.82749390755464,22.377622377622394,77.48478701825559,10000.0,1.1573768E7
11000.0,13.589667136,2.848342244009338E-5,11000.0,91.5,82.96115142524958,52.51396648044696,82.96593186372746,11000.0,1.3431136E7
12000.0,15.051716159,3.05649331445508E-5,12000.0,86.1,71.86713190469636,-0.724637681159421,69.04231625835189,12000.0,5503248.0
13000.0,16.083531123,3.244627113559491E-5,13000.0,87.7,75.40708276016508,13.986013986013997,75.10121457489879,13000.0,7048024.0
14000.0,17.076004113,3.445657071662735E-5,14000.0,89.4,78.802374134097,-8.163265306122458,77.15517241379311,14000.0,7829688.0
15000.0,18.214093222,3.803767434493979E-5,15000.0,91.60000000000001,82.68755152514427,42.068965517241416,81.29175946547885,15000.0,1.2163064E7
16000.0,19.492224158,4.330066050236159E-5,16000.0,90.0,79.5805852204276,39.02439024390247,76.24703087885987,16000.0,1.5916928E7
17000.0,20.821807678,4.823728433929814E-5,17000.0,88.8,75.92847317744155,30.00000000000002,68.88888888888889,17000.0,1.4352144E7
18000.0,21.965284691,5.288986756175719E-5,18000.0,88.7,76.78508328608173,18.705035971223037,72.70531400966183,18000.0,1.572784E7
19000.0,23.067637773,5.7921575201151314E-5,19000.0,92.9,84.42709247236358,47.01492537313437,80.00000000000001,19000.0,1.7644E7
20000.0,24.498965842,6.314957234802692E-5,20000.0,87.4,74.79193341869397,-1.6129032258064528,75.53398058252428,20000.0,1.4118824E7
21000.0,25.972161097,6.900492075009575E-5,21000.0,84.8,69.35286147493386,16.939890710382524,65.6884875846501,21000.0,1.5363664E7
22000.0,27.210042146,7.455586310076239E-5,22000.0,92.10000000000001,80.0752600304672,57.7540106951872,71.16788321167886,22000.0,1.7333656E7
23000.0,28.640705835,8.107275441212077E-5,23000.0,86.1,71.17306942520345,7.947019867549675,67.44730679156909,23000.0,1.7607808E7
24000.0,30.172074937,8.700056513322105E-5,24000.0,83.39999999999999,64.77797392721347,-12.162162162162172,58.080808080808076,24000.0,1.4962936E7
25000.0,31.484533202,9.187730671859237E-5,25000.0,86.1,70.14348311710627,-19.827586206896573,63.12997347480106,25000.0,1.4363048E7
26000.0,32.710803222,9.678405601506604E-5,26000.0,86.6,72.82167775434041,4.285714285714289,69.68325791855203,26000.0,1.5467144E7
27000.0,33.796404388,1.0138329689523405E-4,27000.0,90.9,81.16955676033606,14.953271028037399,77.8048780487805,27000.0,1.6376392E7
28000.0,35.099905846,1.0595504162099566E-4,28000.0,89.5,78.44916054349164,-15.384615384615403,74.39024390243904,28000.0,1.3557288E7
29000.0,36.360889457,1.0990650208775913E-4,29000.0,87.1,72.44225691507089,-11.20689655172415,66.14173228346458,29000.0,1.2112968E7
30000.0,37.715517202,1.1659798445986878E-4,30000.0,86.4,71.44584789035206,-25.925925925925952,65.65656565656566,30000.0,1.9094344E7
31000.0,39.26773249,1.2454821743869142E-4,31000.0,84.8,68.07004423979396,-2.013422818791948,59.89445910290237,31000.0,1.9798408E7
32000.0,41.081711061,1.3386990171320375E-4,32000.0,81.2,61.437954078346614,-30.555555555555504,55.13126491646779,32000.0,1.9863904E7
33000.0,42.842848446,1.4242337123629708E-4,33000.0,86.1,71.95771465461587,-18.80341880341882,69.45054945054945,33000.0,1.8773768E7
34000.0,44.427046644,1.5010466847532246E-4,34000.0,86.6,72.05597147206639,5.6338028169014125,65.1948051948052,34000.0,1.8742496E7
35000.0,45.97983712,1.5701352236249387E-4,35000.0,88.8,76.92177718800097,8.196721311475418,73.39667458432304,35000.0,1.7198696E7
36000.0,47.264142422,1.628399344320249E-4,36000.0,89.5,75.74363097053198,31.81818181818184,65.68627450980394,36000.0,1.7536192E7
37000.0,48.907045019,1.7493065396494977E-4,37000.0,84.2,65.45587315746437,2.4691358024691374,54.98575498575497,37000.0,2.8447408E7
38000.0,50.771933154,1.8608826887041478E-4,38000.0,85.8,68.93961598866076,0.0,58.112094395280224,38000.0,2.3127088E7
39000.0,52.451749998,1.9716433410229772E-4,39000.0,88.1,76.0744386540565,9.160305343511459,74.57264957264957,39000.0,2.5487424E7
40000.0,54.161102899,2.08636007946136E-4,40000.0,87.6,74.80821739695749,15.068493150684942,72.56637168141593,40000.0,2.594164E7
41000.0,55.727197458,2.20140252224473E-4,41000.0,87.9,75.6064124895168,34.59459459459461,74.2004264392324,41000.0,2.839504E7
42000.0,57.300209136,2.3215192678345675E-4,42000.0,91.10000000000001,82.20128150773145,44.02515723270443,81.9838056680162,42000.0,2.951712E7
43000.0,59.042120465,2.4612222781001145E-4,43000.0,90.10000000000001,80.13324771231338,22.656250000000018,78.19383259911895,43000.0,3.1001456E7
44000.0,60.903147564,2.512899439057988E-4,44000.0,86.1,70.23656577076588,24.04371584699455,62.125340599455036,44000.0,1.0733672E7
45000.0,62.010324373,2.5331175495078704E-4,45000.0,90.0,79.51424169917075,23.6641221374046,76.41509433962264,45000.0,7058720.0
45312.0,62.454708582,2.5424540414365734E-4,45312.0,90.0,79.89650721916426,29.577464788732417,78.58672376873662,45312.0,8121336.0
