learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.106465006,2.1291510781024895E-9,1000.0,83.39999999999999,66.82388680150291,-17.730496453900724,66.12244897959184,1000.0,77304.0
2000.0,0.17034559,3.6811363542949166E-9,2000.0,91.4,79.8345495132154,38.5714285714286,71.14093959731545,2000.0,93912.0
3000.0,0.208149227,4.70496698041757E-9,3000.0,82.3,63.45512206402167,4.838709677419358,56.934306569343065,3000.0,104688.0
4000.0,0.243885154,5.487160314884451E-9,4000.0,89.9,78.91757397635429,40.23668639053257,74.1687979539642,4000.0,84608.0
5000.0,0.277568084,6.302005000946423E-9,5000.0,89.4,76.70493503753583,33.75000000000002,70.05649717514125,5000.0,93512.0
6000.0,0.309209793,7.3273171419712404E-9,6000.0,86.4,71.49086030521549,10.526315789473692,67.46411483253588,6000.0,125256.0
7000.0,0.356440539,8.907918830073127E-9,7000.0,85.5,70.38229310499784,24.083769633507824,65.55819477434679,7000.0,129360.0
8000.0,0.40039265,1.0376434226158178E-8,8000.0,86.4,72.7208905826898,20.467836257309955,74.4360902255639,8000.0,129152.0
9000.0,0.435982538,1.127895388615421E-8,9000.0,89.60000000000001,79.14795329141538,39.53488372093026,78.05907172995781,9000.0,98024.0
10000.0,0.469940463,1.2063343562732139E-8,10000.0,91.60000000000001,83.20167983201681,41.25874125874129,82.96146044624747,10000.0,89288.0
11000.0,0.519184126,1.3221301414217385E-8,11000.0,94.8,89.58654581719581,70.94972067039105,89.57915831663325,11000.0,90896.0
12000.0,0.561593024,1.475244379474057E-8,12000.0,87.6,74.98052920216136,10.144927536231892,72.38307349665925,12000.0,139560.0
13000.0,0.599271832,1.5787553986476526E-8,13000.0,86.0,72.01242648264171,2.0979020979020992,71.65991902834008,13000.0,106192.0
14000.0,0.636639442,1.696476591894196E-8,14000.0,89.0,77.99788779722854,-12.244897959183687,76.29310344827587,14000.0,121776.0
15000.0,0.660729214,1.7722432565308277E-8,15000.0,86.9,72.97609519015752,9.65517241379311,70.8240534521158,15000.0,121576.0
16000.0,0.694670297,1.9051250790322404E-8,16000.0,85.1,69.34761857740035,9.146341463414641,64.60807600950118,16000.0,151336.0
17000.0,0.728266179,2.0209415824796174E-8,17000.0,87.1,71.95408296373597,19.375000000000014,64.16666666666666,17000.0,133256.0
18000.0,0.751930635,2.1223563793535446E-8,18000.0,86.9,72.97252688305151,5.755395683453242,68.35748792270532,18000.0,165656.0
19000.0,0.769583429,2.1890972814512333E-8,19000.0,89.4,76.00235448597496,20.89552238805972,70.14084507042254,19000.0,146144.0
20000.0,0.796083601,2.291245921834682E-8,20000.0,85.3,70.59905916989344,-18.54838709677421,71.45631067961165,20000.0,149000.0
21000.0,0.823627807,2.412451327057555E-8,21000.0,76.2,51.947926088641935,-30.054644808743124,46.275395033860036,21000.0,170096.0
22000.0,0.838459778,2.4781691043236185E-8,22000.0,91.9,79.75546602417349,56.684491978609664,70.43795620437959,22000.0,171272.0
23000.0,0.868550049,2.6238614598498158E-8,23000.0,80.60000000000001,60.42576975957636,-28.476821192052924,54.566744730679176,23000.0,187160.0
24000.0,0.890909316,2.7486416384693644E-8,24000.0,82.69999999999999,62.7501980914321,-16.891891891891905,56.3131313131313,24000.0,215720.0
25000.0,0.923280938,2.937565052185207E-8,25000.0,86.9,72.00974317336866,-12.931034482758633,65.25198938992042,25000.0,225592.0
26000.0,0.952809367,3.153938927337527E-8,26000.0,86.2,71.99720783753509,1.4285714285714297,68.77828054298641,26000.0,283248.0
27000.0,0.977944956,3.321029604617092E-8,27000.0,87.0,73.69698931693105,-21.49532710280376,68.29268292682927,27000.0,256960.0
28000.0,1.00430462,3.4929023326701586E-8,28000.0,87.7,74.71736896197328,-35.1648351648352,70.0,28000.0,252040.0
29000.0,1.020459266,3.591210924666789E-8,29000.0,81.8,61.29718234981393,-56.89655172413799,52.230971128608914,29000.0,235232.0
30000.0,1.042765955,3.71718884512451E-8,30000.0,83.1,64.09389128735084,-56.481481481481545,57.32323232323232,30000.0,218304.0
31000.0,1.059822291,3.798135024193261E-8,31000.0,82.1,61.6774569246052,-20.13422818791948,52.77044854881265,31000.0,183448.0
32000.0,1.079363014,3.894458808305777E-8,32000.0,78.0,54.602670188398925,-52.77777777777774,47.49403341288784,32000.0,190544.0
33000.0,1.096272728,3.9754195745475595E-8,33000.0,81.2,62.216371565809844,-60.683760683760646,58.68131868131869,33000.0,185072.0
34000.0,1.114679697,4.061849892512378E-8,34000.0,84.0,66.72974153167952,-12.67605633802818,58.44155844155844,34000.0,181504.0
35000.0,1.135965017,4.1769451278452244E-8,35000.0,84.8,68.8821739895919,-24.59016393442625,63.895486935866984,35000.0,209016.0
36000.0,1.151075904,4.23903881734175E-8,36000.0,88.4,72.98455461777803,24.675324675324692,62.09150326797387,36000.0,158840.0
37000.0,1.165734104,4.2994513109382244E-8,37000.0,80.2,54.392802354989854,-22.222222222222168,43.5897435897436,37000.0,159312.0
38000.0,1.183714363,4.380033998496003E-8,38000.0,84.6,66.31479480460392,-8.45070422535212,54.57227138643067,38000.0,173240.0
39000.0,1.204079222,4.496937766744652E-8,39000.0,84.7,69.25438878528712,-16.793893129771007,67.3076923076923,39000.0,221896.0
40000.0,1.220647986,4.5881067400224924E-8,40000.0,85.1,69.56226865281376,-2.0547945205479468,67.03539823008849,40000.0,212696.0
41000.0,1.238618631,4.692735695582918E-8,41000.0,84.89999999999999,69.6796890059757,18.37837837837839,67.80383795309167,41000.0,225056.0
42000.0,1.250455915,4.758203065704762E-8,42000.0,87.2,74.41964571209311,19.49685534591196,74.08906882591093,42000.0,213784.0
43000.0,1.268492276,4.8465662763944524E-8,43000.0,86.4,72.71979620083043,-6.250000000000005,70.04405286343612,43000.0,189376.0
44000.0,1.288597947,4.9622068832831256E-8,44000.0,86.4,71.15820994278297,25.683060109289634,62.94277929155313,44000.0,222328.0
45000.0,1.304698222,5.055586273729802E-8,45000.0,88.7,76.77153053002023,13.740458015267187,73.34905660377359,45000.0,224192.0
45312.0,1.312430502,5.106263848702114E-8,45312.0,88.4,76.63654929889508,18.30985915492959,75.16059957173448,45312.0,253344.0
