count,accuracy,kappa,memory
1000,0.687,0.2905789529837353,816
2000,0.726,0.2750337309000441,2624
3000,0.7750000000000001,0.26774150347558345,2976
4000,0.8789999999999999,0.7255718958252044,5096
5000,0.8849999999999998,0.5552611488455685,5704
6000,0.787,0.10722127552961906,9824
7000,0.742,0.2680728613303936,10528
8000,0.8119999999999999,0.41658354576670753,11200
9000,0.8440000000000001,0.43468384990759495,11904
10000,0.753,0.268975080760656,19272
11000,0.72,0.45502532244373955,20040
12000,0.8470000000000001,0.6384937504729342,20808
13000,0.6719999999999999,0.12890842891520685,21480
14000,0.763,0.5373708670422259,22120
15000,0.6779999999999999,0.5039879797858439,22920
16000,0.709,0.41650189550692424,23784
17000,0.563,0.21172118644106214,37792
18000,0.5849999999999999,0.26043772649831515,38400
19000,0.794,0.3416139393975288,38880
20000,0.8119999999999999,0.08858173669806482,39456
21000,0.795,0.19249721880963502,40128
22000,0.898,0.7456370043112657,40832
23000,0.858,0.404968725974708,41472
24000,0.8899999999999999,0.0,42048
25000,0.7870000000000001,0.45454797339939496,42752
26000,0.819,0.2764894494160727,43296
27000,0.8390000000000001,0.48518212932477756,44000
28000,0.8629999999999999,0.3905778098056002,44608
29000,0.8889999999999999,0.6851161694621937,45184
30000,0.7719999999999999,0.39887482546506464,45728
31000,0.7889999999999999,0.5197053933933031,46336
32000,0.8540000000000001,0.4778636503558131,47168
33000,0.859,0.36457135646712235,47840
34000,0.7070000000000001,0.26594693768275024,48352
35000,0.866,0.7441803949827662,75688
36000,0.7929999999999999,0.3602057370319446,76392
37000,0.7589999999999999,0.3845669848512484,77032
38000,0.7210000000000001,0.436364629593834,77544
39000,0.6910000000000001,0.386388148059461,78184
40000,0.6609999999999999,0.41397384713779406,78696
41000,0.781,0.3696167668669274,79304
42000,0.76,0.02906113190411429,79976
43000,0.7919999999999999,0.0854811318640052,80520
44000,0.875,0.21471300192235337,80936
45000,0.8790000000000001,0.49143590623155237,81608
46000,0.8880000000000001,0.0,82184
47000,0.8109999999999999,0.4724847207372254,82824
48000,0.8370000000000001,0.39158126068804433,83368
49000,0.8540000000000001,0.3078839003931055,83944
50000,0.882,0.6372136174149611,84520
51000,0.8720000000000001,0.2944637832969617,85192
52000,0.819,0.40360491891847766,85672
53000,0.859,0.42848396828799346,85928
54000,0.865,0.6172793125354921,86760
55000,0.8029999999999999,0.40300325408326965,87176
56000,0.8150000000000001,0.5798009367305269,87592
57000,0.8649999999999999,0.744893159214596,88264
58000,0.772,0.5069288565039687,88808
59000,0.836,0.5805445060199681,89352
60000,0.768,0.4627065715371474,89800
61000,0.752,0.5049229306467629,90536
62000,0.8089999999999999,0.39113752107428773,91144
63000,0.8009999999999999,0.12310621448637375,91816
64000,0.806,0.01847746941809525,92328
65000,0.8629999999999999,0.10651471252560456,92744
66000,0.901,0.04993799072465527,93224
67000,0.8150000000000001,0.36772685916668324,93832
68000,0.8360000000000001,0.4133060311301836,94408
69000,0.8559999999999999,0.4033601799924099,94824
70000,0.892,0.5055818534101241,95496
71000,0.897,0.3394038734101279,96072
72000,0.853,0.49572259702792854,96552
73000,0.8710000000000001,0.5082052317149857,96936
74000,0.9249999999999998,0.6823043461501191,150592
75000,0.866,0.6045982394008816,151072
76000,0.9339999999999999,0.6962893738456098,151424
77000,0.8859999999999999,0.7200572844303575,151712
78000,0.9279999999999997,0.8123550253717665,151776
79000,0.937,0.8628202333105565,152160
80000,0.853,0.8265558119369845,152480
81000,0.6709999999999999,0.4865629037025106,152960
82000,0.777,0.39460170396943844,153696
83000,0.8490000000000002,0.6911235607524923,154336
84000,0.8960000000000001,0.6929583002945612,154784
85000,0.8709999999999999,0.5805214629856424,155424
86000,0.7870000000000001,0.4640625948394371,156256
87000,0.8390000000000001,0.5798470458375033,157088
88000,0.8640000000000001,0.7179347282894865,157664
89000,0.724,0.33698775419661703,158464
90000,0.8470000000000001,0.6468086364544808,159232
91000,0.708,0.2984433296540646,160000
92000,0.7220000000000001,0.48243000864293695,160512
93000,0.658,0.4180692263745655,161248
94000,0.751,0.04038215778416484,161952
95000,0.775,0.10119345565904456,162496
96000,0.8139999999999998,0.4183633461615548,163104
97000,0.849,0.28914957679832853,163776
98000,0.8310000000000001,0.08360134802351474,164416
99000,0.86,0.6141239000694655,165056
100000,0.869,0.6803004939105192,165792
101000,0.93,0.7982323547127554,166464
102000,0.8899999999999999,0.641498047286075,167168
103000,0.8630000000000001,0.7131145209515494,167680
104000,0.923,0.7555338980746561,168224
105000,0.9,0.6610988725917611,168672
106000,0.8130000000000001,0.46691840492951525,169408
107000,0.7979999999999998,0.6866348009764858,170144
108000,0.7939999999999999,0.5687225548656505,170880
109000,0.734,0.5745988332333838,171552
110000,0.76,0.19551078176875325,172256
111000,0.783,0.08374291551707404,172960
112000,0.8230000000000001,0.0282133194181444,173536
113000,0.85,0.3833428070855019,174208
114000,0.874,0.19695792506370408,174784
115000,0.8879999999999999,0.6579790212868484,175328
116000,0.9199999999999999,0.706304550017234,175712
117000,0.925,0.805946813668195,176352
118000,0.909,0.7589998380981723,176736
119000,0.9319999999999998,0.8806255946291482,176992
120000,0.9179999999999999,0.7331472759880142,177568
121000,0.85,0.7783781081084702,177920
122000,0.883,0.6341428025928654,178272
123000,0.8540000000000001,0.6257727126311485,178848
124000,0.7530000000000002,0.5515254819049493,179552
125000,0.8260000000000002,0.558678662385711,180256
126000,0.7829999999999999,0.17787040273825092,180928
127000,0.829,0.06569483388473765,181568
128000,0.8600000000000001,0.03062229752881488,182016
129000,0.8630000000000001,0.6018802619040557,182528
130000,0.897,0.6816796351539693,183008
131000,0.925,0.6931736964174988,183520
132000,0.942,0.76788955674948,183968
