learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.057274193,7.644321990033818E-10,1000.0,72.39999999999999,49.11391844952321,4.827586206896555,41.27659574468085,1000.0,51592.0
2000.0,0.124533817,2.029768404068632E-9,2000.0,72.7,49.08749118821964,-44.4444444444445,59.19282511210761,2000.0,72720.0
3000.0,0.159002003,2.798979693102754E-9,3000.0,74.8,42.411320289040326,-9.565217391304357,40.42553191489362,3000.0,86264.0
4000.0,0.194205588,3.558592414824913E-9,4000.0,84.89999999999999,61.322910156450114,9.5808383233533,47.56944444444444,4000.0,83408.0
5000.0,0.220443247,4.203369722248366E-9,5000.0,85.0,70.06973751159798,7.407407407407413,64.11483253588517,5000.0,94992.0
6000.0,0.24178909,4.638252823557705E-9,6000.0,79.0,33.71002872565423,16.666666666666682,12.50000000000001,6000.0,78752.0
7000.0,0.26281036,5.514893497905384E-9,7000.0,77.4,56.55233137113922,-6.103286384976532,51.18790496760259,7000.0,161200.0
8000.0,0.292786645,5.966972353595E-9,8000.0,77.2,55.18823887813363,-28.089887640449398,48.41628959276018,8000.0,58296.0
9000.0,0.316454899,6.341454681108396E-9,9000.0,83.0,63.1962139728821,10.526315789473637,56.4102564102564,9000.0,61160.0
10000.0,0.330976644,6.579815227627342E-9,10000.0,75.7,25.77138196580598,3.9525691699604777,10.989010989010998,10000.0,63448.0
11000.0,0.349427886,6.924145567245369E-9,11000.0,74.7,53.522208301337734,-9.523809523809533,51.625239005736134,11000.0,72136.0
12000.0,0.367670927,7.308085334975688E-9,12000.0,82.3,65.10252365930599,6.349206349206297,50.83333333333332,12000.0,81352.0
13000.0,0.388743479,7.899767632016707E-9,13000.0,74.5,49.1858780580636,7.942238267148021,38.99521531100479,13000.0,108536.0
14000.0,0.422396305,9.141035735694073E-9,14000.0,77.10000000000001,55.79193251030395,1.2931034482758632,55.2734375,14000.0,142576.0
