learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.443781546,1.431901560673217E-6,1000.0,87.1,58.47603842093066,59.813084112149525,42.41071428571428,1000.0,3833664.0
2000.0,2.386691986,3.0483758130978545E-6,2000.0,90.9,73.54989478090012,73.54651162790698,63.00813008130083,2000.0,6626752.0
3000.0,3.160971154,4.770712695193191E-6,3000.0,94.1,70.94912650424435,71.07843137254899,53.543307086614135,3000.0,8598504.0
4000.0,3.881782341,6.6908154100405154E-6,4000.0,96.39999999999999,84.78843244796374,84.74576271186439,75.51020408163264,4000.0,1.0296872E7
5000.0,4.791051869,9.556527347249535E-6,5000.0,95.7,86.6484505992672,85.42372881355931,79.81220657276992,5000.0,1.2182664E7
6000.0,5.702247365,1.2890022904606013E-5,6000.0,92.9,74.33487565066515,71.93675889328065,60.55555555555559,6000.0,1.4141344E7
7000.0,6.635078814,1.679143921571744E-5,7000.0,94.89999999999999,84.09946873519067,83.75796178343947,75.59808612440189,7000.0,1.6166704E7
8000.0,7.691282003,2.1699617150387818E-5,8000.0,95.1,82.93634210892881,81.71641791044775,73.79679144385025,8000.0,1.7962848E7
9000.0,8.791688947,2.7413655591466548E-5,9000.0,94.39999999999999,81.82632456886199,81.57894736842104,72.41379310344824,9000.0,2.0072072E7
10000.0,10.012161335,3.4174685231211015E-5,10000.0,92.30000000000001,80.77768014059755,79.35656836461126,73.63013698630138,10000.0,2.141348E7
11000.0,11.02906806,3.999674062364175E-5,11000.0,91.60000000000001,79.9265886671255,78.40616966580978,73.58490566037736,11000.0,2.2130824E7
12000.0,11.815664879,4.482034899120958E-5,12000.0,92.7,79.33533374851386,78.59237536656892,70.44534412955468,12000.0,2.3704032E7
13000.0,15.16914196,8.275040948623726E-5,13000.0,91.0,74.8323555237387,74.93036211699166,64.98054474708172,13000.0,4.3721048E7
14000.0,18.241875181,1.1883123519019643E-4,14000.0,91.3,76.90469869923015,76.22950819672131,68.36363636363639,14000.0,4.5389352E7
15000.0,21.214741222,1.5472108247530276E-4,15000.0,91.5,78.25308294530012,78.31632653061226,70.2797202797203,15000.0,4.6665792E7
16000.0,23.442384853,1.8312999917552818E-4,16000.0,93.7,77.64784354909672,75.76923076923079,65.38461538461543,16000.0,4.929596E7
17000.0,26.274149995,2.222828191322455E-4,17000.0,95.0,78.61346838215164,79.16666666666666,65.75342465753423,17000.0,5.3445136E7
18000.0,29.378155668,2.6905371443514267E-4,18000.0,94.1,81.28433848066892,78.46715328467153,72.42990654205605,18000.0,5.8244584E7
19000.0,32.265883927,3.1546161126928487E-4,19000.0,95.3,85.56422384667361,83.90410958904108,78.13953488372091,19000.0,6.2120928E7
20000.0,35.301205352,3.670649026491302E-4,20000.0,97.6,88.12504329411297,87.99999999999999,80.16528925619832,20000.0,6.57166E7
21000.0,38.482651529,4.247796317003715E-4,21000.0,95.3,87.74688718793668,86.79775280898875,82.52788104089218,21000.0,7.012364E7
22000.0,41.607540947,4.844954612605167E-4,22000.0,95.6,86.15829872908014,85.43046357615893,79.04761904761902,22000.0,7.3868144E7
23000.0,44.849126071,5.494778004148871E-4,23000.0,95.39999999999999,82.06809446215976,80.83333333333331,71.0691823899371,23000.0,7.748904E7
24000.0,48.333557942,6.227983843994083E-4,24000.0,92.7,77.98100937466069,75.1700680272109,67.11711711711713,24000.0,8.1338528E7
25000.0,51.317272108,6.8625414313065E-4,25000.0,94.89999999999999,80.08745900359206,79.0983606557377,69.09090909090907,25000.0,8.22084E7
26000.0,54.765886162,7.610077609395715E-4,26000.0,94.19999999999999,86.38753285767929,83.97790055248618,82.09876543209876,26000.0,8.3789576E7
