learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.094408334,1.4491930050940977E-9,1000.0,85.5,59.637011468656034,54.828660436137056,35.26785714285713,1000.0,59336.0
2000.0,0.154419324,2.7221094605575E-9,2000.0,89.0,69.85244140410884,68.02325581395348,55.28455284552846,2000.0,81992.0
3000.0,0.177654124,3.2149518425845435E-9,3000.0,93.7,69.42875444010951,69.11764705882355,50.39370078740162,3000.0,81992.0
4000.0,0.197698937,3.6468507165937786E-9,4000.0,96.6,85.8861426827952,85.59322033898303,76.87074829931971,4000.0,83288.0
5000.0,0.212561063,3.967079969158189E-9,5000.0,95.89999999999999,87.40414864333464,86.10169491525423,80.75117370892016,5000.0,83288.0
6000.0,0.235912642,4.531460910371194E-9,6000.0,92.9,75.14005602240898,71.93675889328065,60.55555555555559,6000.0,93424.0
7000.0,0.251203119,4.9010142412554055E-9,7000.0,94.69999999999999,83.41573314975903,83.12101910828024,74.64114832535881,7000.0,93424.0
8000.0,0.263826262,5.209105528651012E-9,8000.0,94.6,81.4777973671032,79.8507462686567,71.1229946524064,8000.0,94344.0
9000.0,0.276871208,5.527491702929966E-9,9000.0,93.30000000000001,78.38151781104803,77.9605263157895,66.99507389162564,9000.0,94344.0
10000.0,0.29893286,6.130600393087499E-9,10000.0,92.80000000000001,82.11873162202974,80.69705093833781,75.34246575342468,10000.0,105672.0
11000.0,0.312492598,6.5012886726442305E-9,11000.0,92.2,81.55295720286072,79.94858611825194,75.47169811320755,11000.0,105672.0
12000.0,0.329397692,6.964619914719627E-9,12000.0,92.9,80.07274850124617,79.17888563049854,71.25506072874495,12000.0,105944.0
13000.0,0.348065728,7.534106803134911E-9,13000.0,91.60000000000001,77.19213454468441,76.60167130919221,67.31517509727628,13000.0,117920.0
14000.0,0.359409105,1.2187582544970015E-8,14000.0,90.7,75.31191929917706,74.59016393442623,66.1818181818182,14000.0,1585760.0
15000.0,0.420851913,6.241558093809834E-8,15000.0,91.0,77.19856502969255,77.04081632653063,68.53146853146855,15000.0,3159928.0
16000.0,0.525912503,1.9106801613600719E-7,16000.0,93.89999999999999,78.83502421828375,76.53846153846152,66.48351648351645,16000.0,4733480.0
17000.0,0.675107437,4.215155210067787E-7,17000.0,94.89999999999999,78.25159914712152,78.74999999999997,65.0684931506849,17000.0,5970632.0
18000.0,0.813150218,4.372489824042738E-7,18000.0,93.4,79.1771832407875,75.9124087591241,69.15887850467291,18000.0,440568.0
19000.0,0.828276509,4.38973005303637E-7,19000.0,94.39999999999999,83.06673520607177,80.82191780821917,73.953488372093,19000.0,440568.0
20000.0,0.843110108,4.4066366855717154E-7,20000.0,96.8,83.92557541416757,83.99999999999999,73.55371900826444,20000.0,440568.0
21000.0,0.869849053,4.4378772527659097E-7,21000.0,94.6,85.90497867475476,84.83146067415728,79.9256505576208,21000.0,451624.0
22000.0,0.888554406,4.459776256063497E-7,22000.0,95.39999999999999,86.03860628869732,84.7682119205298,78.09523809523807,22000.0,452544.0
23000.0,0.904419527,4.4783501015875893E-7,23000.0,94.89999999999999,80.37978579342607,78.74999999999997,67.92452830188677,23000.0,452544.0
24000.0,0.919670646,4.4962051137476324E-7,24000.0,93.2,79.24551336833112,76.87074829931974,69.3693693693694,24000.0,452544.0
25000.0,0.939215459,4.51959940410246E-7,25000.0,93.8,75.72910550009783,74.5901639344262,62.42424242424241,25000.0,462680.0
26000.0,0.955177148,4.5387048510064264E-7,26000.0,92.4,82.04430331896879,79.00552486187846,76.54320987654322,26000.0,462680.0
27000.0,0.971369314,4.558086168846488E-7,27000.0,92.60000000000001,79.5982509635691,78.23529411764707,69.03765690376571,27000.0,462680.0
28000.0,0.987625928,4.5775446281370603E-7,28000.0,93.5,82.00323388043505,79.16666666666669,73.02904564315355,28000.0,462680.0
29000.0,1.002907754,4.596456204773817E-7,29000.0,89.3,74.6250675874368,71.31367292225201,66.24605678233438,29000.0,478360.0
30000.0,1.017229633,4.6724222079986915E-7,30000.0,91.4,80.46120640690674,77.06666666666668,73.53846153846155,30000.0,2050320.0
31000.0,1.061790573,5.090251265352344E-7,31000.0,93.8,78.63365681517422,76.69172932330825,66.30434782608694,31000.0,3624488.0
32000.0,1.134266227,6.06485795824205E-7,32000.0,91.7,78.67091535180141,74.5398773006135,69.25925925925928,32000.0,5198040.0
33000.0,1.246345881,8.029091829555151E-7,33000.0,91.8,78.80885066442008,78.64583333333334,69.96336996336998,33000.0,6774368.0
34000.0,1.394188364,1.1219793654943507E-6,34000.0,93.5,84.10135994521085,82.52688172043013,77.43055555555559,34000.0,8342368.0
35000.0,1.694507682,1.146048601857221E-6,35000.0,92.2,81.50580670248534,78.80434782608697,74.91961414790998,35000.0,309800.0
36000.0,1.757067642,1.1505118451370755E-6,36000.0,93.0,82.12963672104364,77.56410256410258,74.910394265233,36000.0,275776.0
37000.0,1.801100798,1.1537886522695464E-6,37000.0,94.8,82.00928597623842,79.68749999999997,72.19251336898395,37000.0,287656.0
38000.0,1.828182706,1.1586378325060798E-6,38000.0,93.89999999999999,82.32171009923024,81.2883435582822,73.59307359307357,38000.0,692136.0
39000.0,1.859141674,1.1616092112633877E-6,39000.0,93.2,81.27557398626509,79.70149253731344,73.1225296442688,39000.0,371000.0
40000.0,1.880178635,1.1633594910384033E-6,40000.0,94.19999999999999,80.73652885535124,81.4696485623003,71.56862745098036,40000.0,321608.0
41000.0,1.910269027,1.1660250584546375E-6,41000.0,93.8,82.30179436968696,80.44164037854887,75.49407114624503,41000.0,342424.0
42000.0,1.930137625,1.1679792531331526E-6,42000.0,93.2,79.98504765324684,79.45619335347433,71.54811715481173,42000.0,380192.0
